SurveyID,Country,Collector,Site Code,Site,Year,Lat,Lon,Date,Subregion,Habitat,Reef Zone,Depth,MPA,MPA Name,Zone Detail,Zone,Year Est,Year Man,MPA km2,% No Take,No Take km2,Enforcement,CCA,TA,M,MH,MI,FM,FMH,FMI,CM,CMH,CMI,LC,DT,DJ,DA,L,CO,T,H,HHRI,I,P,CSHRI,CS,DP,ANGE,BARR,BUTT,CHUB,DAMS,FILE,GRUN,JACK,PARR,PORC,PORG,SCOR,SEAB,SNAP,SURG,TRIG,WRAS,Ravg,Rmed,hii100km,hii75km,hii50km,hii25km,hii10km,Grav_tot,ReefArea10km,Chla.2003.2016,Chla,ACET,AMPH,BFMA,CAUL,CLAD,CMA,CODI,DICT,DSPH,FMA,GALA,GCMA,GELI,GFMA,HALI,HALM,HYPO,JANI,LAUR,LOBO,MA,MART,MICR,MUD,ND.HALI,PADI,PENI,RCMA,RFMA,RHIP,SARG,STYP,TURB,UDOT,VALO,WRAN,Acanthurus chirurgus,Acanthurus coeruleus,Acanthurus tractus,Centropyge argi,Kyphosus spp.,Melichthys niger,Scarus / Sparisoma,Scarus coelestinus,Scarus coeruleus,Scarus guacamaia,Scarus iseri,Scarus taeniopterus,Scarus vetula,Sparisoma atomarium,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma rubripinne,Sparisoma viride
10_Frontal Somero2016,Mexico,Sian_Kaan,10_Frontal Somero,NA,2016,19.40626,-87.44809,NA,Central Quintana Roo (Sian Ka'an),NA,Fore reef,12,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,1356,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193246,104197,37099,6996,624,18,2.024519377,540.2669791,446.3421071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_posterior2016,Mexico,Sian_Kaan,10_posterior,NA,2016,19.40561,-87.45189,NA,Central Quintana Roo (Sian Ka'an),NA,Crest,2,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,40.2,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,3235,NA,NA,1098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194116,105232,37609,7196,668,18,0.038938275,540.2669791,446.3421071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_Profundo2016,Mexico,Sian_Kaan,10_Profundo,NA,2016,19.40577,-87.4427,NA,Central Quintana Roo (Sian Ka'an),NA,Fore reef,17,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,40.7,NA,NA,NA,NA,NA,17.2,NA,NA,NA,NA,NA,NA,NA,1386,NA,NA,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191868,103122,36221,6820,536,18,0.571379726,540.2669791,446.3421071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1032B2016,Mexico,"Barco Lab, UNAM",1032B,NA,2016,19.41503,-87.44633,NA,Central Quintana Roo (Sian Ka'an),NA,Fore reef,12,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,16.8,NA,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,3118,NA,NA,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192550,103654,37118,6820,696,18,0.759638549,540.2669791,446.3421071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1062 BR2016,Belize,ERI/UB,1062 BR,NA,2016,17.2561263,-87.9562313,NA,Turneffe,NA,Back reef,3,Yes,Turneffe Atoll Marine Reserve,General Use Zone,General Use Zone,2012,4,1176,13,153,Moderate,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,1499,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162092,80408,23886,1768,344,NA,NA,556.1052258,499.2198817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1062 DFR2016,Belize,ERI/UB,1062 DFR,NA,2016,17.2587059,-87.9592547,NA,Turneffe,NA,Fore reef,10.7,Yes,Turneffe Atoll Marine Reserve,General Use Zone,General Use Zone,2012,4,1176,13,153,Moderate,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,2479,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163143,81245,24457,1796,340,NA,NA,556.1052258,499.2198817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1062 SFR2016,Belize,ERI/UB,1062 SFR,NA,2016,17.2602972,-87.961022,NA,Turneffe,NA,Fore reef,4.6,Yes,Turneffe Atoll Marine Reserve,General Use Zone,General Use Zone,2012,4,1176,13,153,Moderate,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,3201,NA,NA,1541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163796,81800,24901,1796,326,NA,0.877715488,556.1052258,499.2198817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1071 DFR2016,Belize,ERI/UB,1071 DFR,NA,2016,17.4778359,-87.7818689,NA,Turneffe,NA,Fore reef,12.2,Yes,Turneffe Atoll Marine Reserve,Special Management,General Use Zone,2012,4,1176,13,153,Moderate,NA,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,23.7,NA,NA,NA,NA,NA,NA,NA,1488,NA,NA,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124137,49216,5624,1940,1008,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1071 SFR2016,Belize,ERI/UB,1071 SFR,NA,2016,17.4773632,-87.7848524,NA,Turneffe,NA,Fore reef,4.6,Yes,Turneffe Atoll Marine Reserve,Special Management,General Use Zone,2012,4,1176,13,153,Moderate,NA,NA,NA,NA,NA,19.3,NA,NA,NA,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,762,NA,NA,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124970,50044,5825,1954,1022,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1206 BR2016,Belize,ERI/UB,1206 BR,NA,2016,17.2491312,-87.8386549,NA,Turneffe,NA,Back reef,1.2,Yes,Turneffe Atoll Marine Reserve,General Use Zone,General Use Zone,2012,4,1176,13,153,Moderate,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,10.8,NA,NA,NA,NA,NA,NA,NA,556,NA,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129321,53713,5500,1874,502,66,3.197788619,338.7735025,318.9884427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1206 DFR2016,Belize,ERI/UB,1206 DFR,NA,2016,17.2479873,-87.8333634,NA,Turneffe,NA,Fore reef,6.1,Yes,Turneffe Atoll Marine Reserve,General Use Zone,General Use Zone,2012,4,1176,13,153,Moderate,NA,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,1335,NA,NA,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128061,52554,4787,1874,418,66,0.378506325,338.7735025,318.9884427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1206 SFR2016,Belize,ERI/UB,1206 SFR,NA,2016,17.2485956,-87.8370534,NA,Turneffe,NA,Fore reef,9.1,Yes,Turneffe Atoll Marine Reserve,General Use Zone,General Use Zone,2012,4,1176,13,153,Moderate,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,2493,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128986,53329,5296,1874,474,66,NA,338.7735025,318.9884427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40 Ca_ones Norte Control2016,Mexico,COBI,40 Ca_ones Norte Control,NA,2016,18.73953,-87.35179,NA,Banco Chinchorro,NA,Bommies,5,Yes,Reserva de la Biosfera Banco Chinchorro,Ramsar Site  Wetland of International Importance,General Use Zone,1996,20,183,100,183,Moderate,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,27.4,NA,NA,NA,NA,NA,NA,NA,899,NA,NA,2398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132933,75787,21602,180,12,15,6.124303975,303.8516721,286.7573954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40 Ca_ones Sur Control 2016,Mexico,COBI,40 Ca_ones Sur Control ,NA,2016,18.68017,-87.3865,NA,Banco Chinchorro,NA,Bommies,5,Yes,Reserva de la Biosfera Banco Chinchorro,Ramsar Site  Wetland of International Importance,No Fishing Zone,1996,20,183,100,183,Moderate,NA,NA,NA,NA,NA,17.6,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA,3742,NA,NA,887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140146,76399,24886,204,12,15,35.08963868,303.8516721,286.7573954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5_Posterior2016,Mexico,Sian_Kaan,5_Posterior,NA,2016,19.74005,-87.41908,NA,Central Quintana Roo (Sian Ka'an),NA,Crest,2,Yes,Arrecifes de Sian Ka'an,Biosphere Reserve,General Use Zone,1998,18,335,2,7,Moderate,NA,NA,NA,NA,NA,28.3,NA,NA,NA,NA,NA,25.7,NA,NA,NA,NA,NA,NA,NA,9278,NA,NA,1286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179098,94055,37988,6351,52,25,0.472524923,775.8684805,596.7720807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6_Posterior2016,Mexico,Sian_Kaan,6_Posterior,NA,2016,19.52949,-87.42487,NA,Central Quintana Roo (Sian Ka'an),NA,NA,3,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,12.7,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA,4240,NA,NA,3152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183945,97679,35806,4644,1380,NA,1.036567617,508.3345093,363.5929108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7_Frontal Somero2016,Mexico,Sian_Kaan,7_Frontal Somero,NA,2016,19.51777,-87.4169,NA,Central Quintana Roo (Sian Ka'an),NA,NA,15,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,44.3,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,607,NA,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182247,96000,34669,4648,1172,18,1.036567617,508.3345093,363.5929108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7_Posterior2016,Mexico,Sian_Kaan,7_Posterior,NA,2016,19.51871,-87.42663,NA,Central Quintana Roo (Sian Ka'an),NA,NA,2,Yes,Sian Ka'an,World Heritage Site,No Fishing Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,16.8,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,NA,NA,6589,NA,NA,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184697,97998,35944,4832,1440,19,1.036567617,508.3345093,363.5929108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8_Frontal Somero2016,Mexico,Sian_Kaan,8_Frontal Somero,NA,2016,19.41536,-87.44418,NA,Central Quintana Roo (Sian Ka'an),NA,NA,14,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,28.7,NA,NA,NA,NA,NA,19.7,NA,NA,NA,NA,NA,NA,NA,1250,NA,NA,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192028,103204,36747,6748,688,18,0.761436302,540.2669791,446.3421071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8_Posterior2016,Mexico,Sian_Kaan,8_Posterior,NA,2016,19.48152,-87.43366,NA,Central Quintana Roo (Sian Ka'an),NA,NA,6,Yes,Sian Ka'an,World Heritage Site,No Fishing Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,24.8,NA,NA,NA,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,2832,NA,NA,2131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187562,99705,36448,5552,1200,19,4.912101988,467.5800106,371.4519246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9_Frontal Somero2016,Mexico,Sian_Kaan,9_Frontal Somero,NA,2016,19.43987,-87.4384,NA,Central Quintana Roo (Sian Ka'an),NA,NA,12,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,1826,NA,NA,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189897,101360,36517,6280,832,18,1.521032529,467.5800106,371.4519246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9_posterior2016,Mexico,Sian_Kaan,9_posterior,NA,2016,19.44737,-87.4439,NA,Central Quintana Roo (Sian Ka'an),NA,NA,2,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,24.2,NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA,3072,NA,NA,1453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191090,102422,37467,6372,1040,18,2.290525481,467.5800106,371.4519246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9_Profundo2016,Mexico,Sian_Kaan,9_Profundo,NA,2016,19.40577,-87.4427,NA,Central Quintana Roo (Sian Ka'an),NA,NA,17,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,30,76,100,76,Moderate,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,1800,NA,NA,835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191868,103122,36221,6820,536,18,0.711728176,540.2669791,446.3421071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AKP2016,Mexico,CEA,AKP,NA,2016,20.391358,-87.307578,NA,Northern Quintana Roo,Fore reef,Fore reef,16,Yes,Refugio de Vida Silvestre de Bahia de Akumal,Akumal,No Fishing Zone,2015,1,16.53,60,9.918,TBD,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,13.6,NA,NA,NA,NA,NA,NA,NA,2785,NA,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267554,131787,42365,10311,2521,99,35.08963868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AKS2016,Mexico,CEA,AKS,NA,2016,20.39225,-87.308661,NA,Northern Quintana Roo,Fore reef,Fore reef,10,Yes,Refugio de Vida Silvestre de Bahia de Akumal,Akumal,No Fishing Zone,2015,1,16.53,60,9.918,TBD,NA,NA,NA,NA,NA,29.2,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,6491,NA,NA,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268363,132137,42503,10310,2561,99,15.88583422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akumal Langosta2016,Mexico,"Barco Lab, UNAM",Akumal Langosta,NA,2016,20.38499,-87.31341,NA,Northern Quintana Roo,NA,NA,9,Yes,Refugio de Vida Silvestre de Bahia de Akumal,Akumal,No Fishing Zone,2015,1,16.53,60,9.918,TBD,NA,NA,NA,NA,NA,15.8,NA,NA,NA,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,1100,NA,NA,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267881,131830,42374,10364,2498,NA,0.003621804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alleys2016,Belize,Blue Ventures,Alleys,NA,2016,18.1701639,-87.8229861,NA,Northern Barrier Complex,NA,NA,13,Yes,Bacalar Chico,Conservation Zone I,No Fishing Zone,1996,20,9,100,9,Moderate,NA,NA,NA,NA,NA,20.2,NA,NA,NA,NA,NA,24.3,NA,NA,NA,NA,NA,NA,NA,1512,NA,NA,1045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267481,114706,37327,5999,1398,35,NA,312.173012,264.4417686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacalar Chico2016,Belize,UNC,Bacalar Chico,NA,2016,18.1628167,-87.8222167,NA,Northern Barrier Complex,NA,Fore reef,11,Yes,Bacalar Chico,Conservation Zone I,No Fishing Zone,1996,20,9,100,9,Moderate,NA,NA,NA,NA,NA,27.5,NA,NA,NA,NA,NA,17.8,NA,NA,NA,NA,NA,NA,NA,2241,NA,NA,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265863,113113,36727,5817,1304,35,20.2011537,290.324442,260.8065859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacalar Chico2016,Mexico,"Barco Lab, UNAM",Bacalar Chico,NA,2016,18.19665,-87.82838,NA,Southern Quintana Roo,NA,NA,15,Yes,Arrecifes de Xcalak,National Park,General Use Zone,2000,16,62,100,62,Inadequate,NA,NA,NA,NA,NA,47.4,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,1683,NA,NA,421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273957,120547,39877,7025,1698,35,11.17653301,312.173012,264.4417686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
