SurveyID,Country,Collector,Site Code,Site,Year,Lat,Lon,Date,Subregion,Habitat,Reef Zone,Depth,MPA,MPA Name,Zone Detail,Zone,Year Est,Year Man,MPA km2,% No Take,No Take km2,Enforcement,CCA,TA,M,MH,MI,FM,FMH,FMI,CM,CMH,CMI,LC,DT,DJ,DA,L,CO,T,H,HHRI,I,P,CSHRI,CS,DP,ANGE,BARR,BUTT,CHUB,DAMS,FILE,GRUN,JACK,PARR,PORC,PORG,SCOR,SEAB,SNAP,SURG,TRIG,WRAS,Ravg,Rmed,hii100km,hii75km,hii50km,hii25km,hii10km,Grav_tot,ReefArea10km,Chla.2003.2016,Chla,ACET,AMPH,BFMA,CAUL,CLAD,CMA,CODI,DICT,DSPH,FMA,GALA,GCMA,GELI,GFMA,HALI,HALM,HYPO,JANI,LAUR,LOBO,MA,MART,MICR,MUD,ND.HALI,PADI,PENI,RCMA,RFMA,RHIP,SARG,STYP,TURB,UDOT,VALO,WRAN,Acanthurus chirurgus,Acanthurus coeruleus,Acanthurus tractus,Centropyge argi,Kyphosus spp.,Melichthys niger,Scarus / Sparisoma,Scarus coelestinus,Scarus coeruleus,Scarus guacamaia,Scarus iseri,Scarus taeniopterus,Scarus vetula,Sparisoma atomarium,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma rubripinne,Sparisoma viride
MX20722006,Mexico,HRI,MX2072,NA,2006,18.66,-87.2506,37577,Banco Chinchorro,Lee,Patch,3.1,Yes,Reserva de la Biosfera Banco Chinchorro,Ramsar Site  Wetland of International Importance,General Use Zone,1996,10,1404,13,183,Moderate,0.3,55.5,24.7,7.7,212,21.8,7.7,200.2,2.9,3.3,11.9,0.9,0.05,0.05,0,0,0.08,1504,683,656,460,361,448,620,27,201,0,0,0,0,0,106,94,216,0,0,0,0,448,440,0,0,19.2,19.4,101583,54002,3168,208,96,14,11.67465059,355.5153943,359.1645991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,59.55333333,204.6833333,0,0,0,0,0,0,0,0,0,0,0,91.87666667,0,0,37.525
MX20742006,Mexico,HRI,MX2074,NA,2006,18.4195,-87.3829,37588,Banco Chinchorro,Patch,Patch,2.9,Yes,Reserva de la Biosfera Banco Chinchorro,Ramsar Site  Wetland of International Importance,General Use Zone,1996,10,1404,13,183,Moderate,4.6,57.1,10,3.1,38.1,9.3,3.3,37.6,0.7,0.3,0.5,14.8,0.1,0.1,0,0,0,3938,3187,3176,492,259,390,475,212,59,0,15,0,0,0,298,0,754,0,0,0,0,390,2422,0,0,73.2,78.8,114835,52821,10572,172,52,16,NA,727.0806117,697.1297137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476.565,910.9816667,65.765,0,0,0,0,0,0,0,12.36,0,0,0,51.02333333,0,0,388.7383333
MX20782006,Mexico,HRI,MX2078,NA,2006,18.5426,-87.4253,37575,Banco Chinchorro,Fore reef,Fore reef,8.6,Yes,Reserva de la Biosfera Banco Chinchorro,Ramsar Site  Wetland of International Importance,No Fishing Zone,1996,10,183,100,183,Moderate,4.3,58.4,7.2,2.4,18.4,3.6,1,4.1,3.6,3.1,14.3,12.5,0.03,0.03,0,0,0.1,4375,958,754,1752,1665,2351,2523,278,148,195,228,0,0,0,382,0,404,0,0,0,239,2112,350,245,74,127.3,128.7,141133,67451,25068,212,8,17,11.81877203,313.0772774,319.2940852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.021666667,159.415,41.115,0,0,146.8266667,0,0,0,0,35.60333333,0,0,0,0,0,0,206.8783333
MX20792006,Mexico,HRI,MX2079,NA,2006,18.5915,-87.259,37576,Banco Chinchorro,Fore reef,Fore reef,13.3,Yes,Reserva de la Biosfera Banco Chinchorro,Ramsar Site  Wetland of International Importance,General Use Zone,1996,10,1404,13,183,Moderate,3.3,79.6,9.5,3.1,33.3,7.8,3.2,27.7,1.7,2.9,5.7,3.8,0,0,0,0,0,1855,671,366,874,310,174,424,231,0,195,270,0,3,0,450,0,34,0,0,0,6,168,332,367,31,35.5,25.1,96980,51590,1670,244,124,14,NA,355.5153943,359.1645991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39.855,159.7116667,0,0,220.24,0,0,0,0,10.88333333,0,0,0,9.255,0,0,0
MX20802006,Mexico,HRI,MX2080,NA,2006,18.5989,-87.4193,37575,Banco Chinchorro,Fore reef,Fore reef,12.1,Yes,Reserva de la Biosfera Banco Chinchorro,Ramsar Site  Wetland of International Importance,No Fishing Zone,1996,10,183,100,183,Moderate,3.6,47.1,7.8,2.7,22,2,1.3,3.5,5.7,2.6,18.5,9.4,0,0,0,0,0.38,3029,885,731,1242,902,1543,1605,216,118,0,171,0,0,0,275,0,112,0,0,0,38,1505,619,188,4,140.4,161.7,144128,72167,26992,244,40,15,11.17653301,275.9428446,288.1603559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.06333333,334.155,10.27833333,0,0,113.0333333,0,0,0,0,0,0,0,0,0.958333333,0,0,66.07
MX20812006,Mexico,HRI,MX2081,NA,2006,18.6821,-87.2294,37576,Banco Chinchorro,Fore reef,Fore reef,14.7,Yes,Reserva de la Biosfera Banco Chinchorro,Ramsar Site  Wetland of International Importance,General Use Zone,1996,10,1404,13,183,Moderate,1.6,75.7,12.6,3.6,44.5,10.9,3.8,39.8,1.7,2.2,4.6,5.7,0,0,0,0,0,1757,709,520,464,584,158,358,199,30,390,30,0,0,0,197,126,110,0,0,0,158,0,410,230,77,28,22.1,99472,50160,2192,200,68,13,5.753184167,255.0247623,247.3980319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.12666667,95.03333333,96.86666667,0,0,137.6816667,0,0,0,0,0,0,0,0,0,0,0,66.07
MX20872006,Mexico,HRI,MX2087,NA,2006,18.508,-87.3129,37590,Banco Chinchorro,Crest,Crest,1.2,Yes,Reserva de la Biosfera Banco Chinchorro,Ramsar Site  Wetland of International Importance,General Use Zone,1996,10,1404,13,183,Moderate,6.9,66,6.5,6.7,49.8,6,7,49.8,0.4,0,0,8.5,0.07,0.07,0,0,0,2466,2155,2002,303,9,19,139,0,0,0,161,0,164,0,120,0,0,0,0,0,19,0,2002,0,0,34.4,32.4,102449,53338,5024,232,108,15,0.251675596,321.5415898,301.6485583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,923.814,438.79,78.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MX20882006,Mexico,HRI,MX2088,NA,2006,18.6155,-87.7289,37466,Southern Quintana Roo,Crest,Crest,4.4,No,Fished,Fished,Fished,NA,NA,NA,NA,NA,NA,22.2,39.1,19.5,2.5,48.7,12.1,1.9,21.4,7.5,3.8,27.2,3.1,0.13,0.03,0.1,0,0,1875,1649,1097,201,25,37,55,120,0,0,9,0,594,0,123,1,248,0,0,0,0,37,849,0,14,65.2,65.3,260123,149830,64970,25580,4132,21,11.17653301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.162222222,337.5922222,170.3777778,0,0,0,0,0,0,0,0,35.50555556,0,0,105.69,0,7.694444444,0
MX20902006,Mexico,HRI,MX2090,NA,2006,18.6194,-87.2446,37587,Banco Chinchorro,Crest,Crest,1.6,Yes,Reserva de la Biosfera Banco Chinchorro,Ramsar Site  Wetland of International Importance,General Use Zone,1996,10,1404,13,183,Moderate,2.2,47.8,46,8.7,408.5,45,8.9,408.2,1,0.1,0.3,2,0,0,0,0,0,2625,2149,2147,179,297,250,401,74,0,0,0,0,3,0,0,151,282,0,0,0,0,250,1865,0,74,24.1,25,96593,50517,1396,228,108,14,11.17653301,269.6821951,257.9221967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.328,929.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.97
MX21002006,Mexico,HRI,MX2100,NA,2006,19.0021,-87.5853,37492,Southern Quintana Roo,Crest,Crest,1.2,No,Fished,Fished,Fished,NA,NA,NA,NA,NA,NA,1.9,82.7,4.9,3.5,16.9,2.7,3.3,9.9,2.2,2.9,7,4,0.47,0.13,0.33,0,0,596,238,226,285,73,23,70,177,20,45,0,0,9,0,86,14,95,0,0,0,0,23,131,41,132,44.5,30.8,224171,133642,64237,19405,3016,20,0.39470309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.68,65.2125,1.31375,0,0,0,0,0,0,0,36.70875,0,1.35875,0,0,0,25.96875,0
MX21022006,Mexico,HRI,MX2102,NA,2006,19.1479,-87.5383,37491,Central Quintana Roo (Sian Ka'an),Crest,Crest,2.4,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,20,1515,5,76,Moderate,3.7,86.1,8.9,5.2,46.7,7.7,5.5,42.4,1.2,3.5,4.3,0.4,0.2,0.2,0,0,0,821,689,689,131,1,0,1,21,0,0,0,0,0,0,122,1,481,0,0,0,0,0,208,0,9,22.1,23.1,215783,125635,55045,14258,2436,20,6.498769321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.97888889,82.77555556,2.005555556,0,0,0,0,0,0,0,0,0,2.415555556,0,46.35555556,0,23.08333333,216.7266667
MX21042006,Mexico,HRI,MX2104,NA,2006,19.3679,-87.4424,37489,Central Quintana Roo (Sian Ka'an),Crest,Crest,1.4,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,20,1515,5,76,Moderate,28,52.3,10.6,2.2,25.1,2.1,1,2,8.5,2.7,23.1,6.6,0.08,0.08,0,0,0,1642,546,471,722,374,593,595,409,115,0,0,0,51,0,411,0,443,0,0,0,0,593,28,0,2,45.5,41.7,192641,103897,35326,6868,372,20,0.008149984,540.2669791,428.1175346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.531428571,16.17,3.732857143,0,0,0,0,0,0,0,125.8585714,0,0,0,1.642857143,0,19.78571429,194.4457143
MX21102005,Mexico,HRI,MX2110,NA,2005,19.8153,-87.4528,37161,Central Quintana Roo (Sian Ka'an),Crest,Crest,1.1,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,19,1515,5,76,Moderate,6.2,63.8,21.8,3,54.6,3.3,1.6,7.9,18.5,3.1,46.7,7.5,0,0,0,0.05,0,3371,1845,1657,1425,101,125,217,1020,315,0,47,0,116,0,1102,10,475,0,0,0,0,125,1182,0,0,80,79.1,193988,97962,44874,9678,1413,31,0.472524923,524.3128153,483.4303856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.6977778,485.9433333,0.987777778,0,0,0,0,0,0,0,32.63,47.37444444,8.338888889,0,7.447777778,0,97.94222222,122.7088889
MX21132005,Mexico,HRI,MX2113,NA,2005,19.9335,-87.4387,37160,Central Quintana Roo (Sian Ka'an),Crest,Crest,3.5,Yes,Sian Ka'an,World Heritage Site,General Use Zone,1986,19,1515,5,76,Moderate,0.3,92.7,4.4,2.6,9.7,2.7,2.5,6.7,1.7,2.3,3,0.4,0.08,0.08,0,0,0,79,26,26,7,46,9,53,0,0,0,0,0,0,0,0,44,1,0,0,0,0,9,25,0,0,21.8,22.2,203234,95463,42743,10647,2063,30,1.548704786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.541,1.313,12.987,0,0,0,0,0,0,0,0,0,0,0,0.575,0,0,0
MX21272005,Mexico,HRI,MX2127,NA,2005,20.6213,-87.0726,37135,Northern Quintana Roo,Crest,Crest,1.2,No,Fished,Fished,Fished,NA,NA,NA,NA,NA,NA,0.7,64,13.4,3.7,51.2,7.5,3.7,29.1,5.9,3.5,22.1,1.2,0,0,0,0,0,325,114,108,182,29,0,32,0,30,0,147,0,0,8,0,32,26,0,0,0,0,0,82,0,0,19.4,20,238818,130962,61049,17042,3889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.03666667,35.24,0,0,0,0,0,0,0,0,0,0,0,12.13,0,0,3.623333333
